,Exp,B1,B2,B3,B4,SB,M,R1,R2,RL,BS,BRT,Inf. (Mo),Inf. (Med),Clar. (Mo),Clar. (Med)
4,"Buys depends on cost, which depends on subsidy and harvest.",0.055555556,0.07647191,7.01E-07,2.15E-09,0.028012329,0.150508646,0.150246305,0.07407407,0.093494223,0.262529263,0.459810985,5,6,6,6.5
5,The buying process starts when the cost is supplied by subsidy and harvest.,0.222222222,0.170996391,1.20E-06,3.22E-09,0.044017882,0.127198618,0.330357143,0.13333333,0.144402669,0.267276073,0.482468261,2,2,1,1
6,The subsidy and the harvest will feed into the cost which presumably will reduce the value remaining. The output will then be used to buy.,0.309050921,0.264513338,0.208037019,0.16925697,0.164605952,0.168958287,0.366883117,0.238095234,0.315161065,0.361941056,0.539181157,3,3.5,2,2.5
7,Subsidy and Harvest has an impact on the cost which impact the buys.,0.166666667,0.108147613,8.83E-07,2.56E-09,0.031139402,0.236663101,0.196428571,0.066666662,0.213075612,0.243180404,0.634030072,5,6,7,7
8,"According to the amounts of the subsidy and the harvest, the cost of the products is determined.",0.388888889,0.305887644,0.222451317,2.88E-05,0.174339085,0.278934103,0.464285714,0.235294114,0.35541245,0.41720983,0.608134345,5,5,5,5
9,Both Subsidy and Harvest will have an effect on the Cost. The cost will affect the Buys.,0.222222222,2.56E-09,6.26E-12,3.13E-13,0.037752102,0.210562483,0.226190476,0,0.176685902,0.382976611,0.664365657,2,5,5,5
10,The subsidy and the harvest influence the cost of production. The final price influences the amount of bought products.,1,1,1,1,1,1,1,1,1,1,1,6,6.5,6,6.5
11,The cost will make the buy.,0.111111111,1.70E-09,4.77E-12,2.56E-13,0,0.084127581,0.185714286,0,0.219535442,0.118581795,0,1,2,2,2
12,Overheads + Labour = cost = product = Demand (Buyer).,0,4.50E-10,2.31E-12,1.54E-13,0.007376362,0.004044275,0.002463055,0,0.015939031,0.009983986,0.27965455,2,2,3,3
13,When reviewing the Buys you need to take into account the Cost involved which is made up of two factors - Subsidy and Harvest.,0.115249006,1.37E-09,3.54E-12,1.82E-13,0.010080181,0.087494998,0.127906977,0,0.083474023,0.069563253,0.489687793,6,6,6,6
14,"Subsidy and harvest influence cost, cost influence a buying action.",0.166666667,0.108147613,8.83E-07,2.56E-09,0.028012329,0.146639813,0.224137931,0.07407407,0.248604609,0.266395191,0.561593448,4,5,4,6
15,The subsidy and the harvest influence the costs that tell if we should buy or not.,0.333333334,0.350438321,0.330558317,0.308262765,0.275459564,0.223550371,0.357142857,0.363636361,0.36969697,0.44137884,0.488877768,4,4,4,4
16,The cost is affected by if the product is subsidies and how much it will take to harvest.,0.166666667,2.16E-09,5.58E-12,2.87E-13,0.016152363,0.112736746,0.218146718,0,0.111380951,0.186132008,0.373886047,2,4,2,2
17,Whether the customers will buy the product is affected by the cost to make it.,0.166666667,0.108147613,8.83E-07,2.56E-09,0.032840348,0.058677416,0.180672269,0.062499995,0.129788526,0.244870597,0.393451143,1,4,2,4
18,Subsidy and Harvest influence cost. Cost determines Buys.,0.055555556,1.16E-09,3.76E-12,2.15E-13,0.008423082,0.226467825,0.166666667,0,0.108131115,0.254821411,0.501116472,3,4,1,4
19,"The subsidy and harvest affect the cost, which affects whether the product is bought",0.333333334,0.202325659,0.13403483,1.97E-05,0.081185689,0.235798306,0.383116883,0.129032254,0.401417649,0.575484985,0.763638487,7,7,5,5.5
20,Both the subsidy and the harvest have an effect on the cost. Cost is the only thing which affects whether or not something is bought.,0.187515428,0.167292924,0.133905022,0.102277769,0.106160275,0.142006675,0.318181818,0.190476187,0.220966758,0.428522283,0.641221618,6,6,6,6.5
21,"Either subsidy or harvest results in cost. When cost happens, buys happens.",0.111111111,1.70E-09,4.77E-12,2.56E-13,0.013947706,0.091354107,0.1359447,0,0.152579822,0.207003985,0.435392974,5,4,2,4
22,"Buying incurs a cost, paid for either from subsidy or from harvest.",0,4.50E-10,2.31E-12,1.54E-13,0.011939883,0.066470289,0.066820276,0,0.0097825,0.101870283,0.417073282,2,3,3,4
23,The amount of the subsidy combined with the size of the harvest influences the cost which influences the amount of buys.,0.494497994,0.360955016,0.239841323,0.166910712,0.15102107,0.246306666,0.517857143,0.263157891,0.464448712,0.429679808,0.620320775,6,6,7,7
24,Both subsidy and harvest affect cost. Cost affects buying things.,0.111111111,0.09365858,8.02E-07,2.38E-09,0.02991232,0.128224883,0.224137931,0.07407407,0.171049417,0.488288359,0.705879263,5,6,5,5
25,Both subsidies and the harvest have an influence on the cost that in turn influences buys (probably a simple model of agricultural produce market pricing).,0.26853909,0.193173229,0.116976811,1.64E-05,0.060589951,0.111649108,0.318181818,0.142857139,0.315161065,0.349958461,0.561499706,6,6.5,5,5.5
26,Subsidy and harvesting have an effect on costs. The costs will affect the buys.,0.111111111,1.70E-09,4.77E-12,2.56E-13,0.032840348,0.170747493,0.123376623,0,0.1368269,0.347135705,0.659200337,6,6,5,5
27,The level of Harvest and Subsidy impact how much is bought.,0.111111111,1.70E-09,4.77E-12,2.56E-13,0.011495816,0.175570271,0.214285714,0,0.087083231,0.314398505,0.674669479,2,4,5,4
28,The cost of a commodity depends on the harvest as well as the amount of subsidy from the government. A decision on how much goods are sold is directly influenced by the price or cost.,0.207712709,0.15452246,0.084580623,1.13E-05,0.051720845,0.115260356,0.365079365,0.15384615,0.162332839,0.355197846,0.572406083,7,7,3,4
29,Cost is dictated by the harvest (e.g. size) and available subsidies (e.g. government tax break/subsidy). Whether or not the product is bought depends on the cost.,0.175053053,0.091634568,6.99E-07,1.96E-09,0.020361013,0.074146764,0.247720365,0.088888884,0.121965938,0.201694352,0.514754675,7,7,6,6
30,"Both a subsidy being present and a good/bad harvest (which can be modelled probabilistically, if done a year in advance) could lead to costs being lower. Costs being lower could then lead to a higher probability of buying.",0.026195431,0,0,0,0.000157361,0,0.078947369,0,0.078934215,0.129807435,0.363627798,6,6.5,4,5
31,Cost depends on the Harvest and the Subsidy.,0.111111111,0.09365858,8.02E-07,2.38E-09,0.017542001,0.218005673,0.166666667,0.079999996,0.108131115,0.234143607,0.537598354,2,3,6,6
32,Cost influences whether a customer Buys or not.,0,4.50E-10,2.31E-12,1.54E-13,0.00240635,0.103197778,0.007936509,0,0.023257476,0,0.43846958,3,3,5,5
33,"Subsidies and harvests influence costs, which influences buys.",0.111111111,1.70E-09,4.77E-12,2.56E-13,0.007275387,0.267989633,0.166666667,0,0.193004753,0.334959821,0.589563409,5,5,5,5
34,Cost is dictated by the harvest (e.g. size) and available subsidies (e.g. government tax break/subsidy). Whether or not the product is bought depends on the cost.,0.175053053,0.091634568,6.99E-07,1.96E-09,0.020361013,0.074146764,0.247720365,0.088888884,0.121965938,0.201694352,0.514754675,7,7,7,7
35,Income can come from subsidies or from the harvest. Monetary income allows people to buy stuff.,0,4.50E-10,2.31E-12,1.54E-13,0.031060229,0.053014487,0.051020408,0.060606056,0,0.25238214,0.558619407,2,4,2,4
36,Subsidy and harvest both affect cost. The cost alone effects who buys.,0.166666667,2.16E-09,5.58E-12,2.87E-13,0.033185226,0.137668334,0.205069124,0,0.152579822,0.331864361,0.564629978,3,3,3,5
37,The cost is made of subsidy and harvest.,0.222222222,0.120912707,9.51E-07,2.71E-09,0.022087641,0.218005673,0.404761905,0.079999996,0.193004753,0.185204478,0.433530957,3,4,4,4
38,"A subsidy or a harvest is a financial positive cost, which you can use to buy things with.",0.055555556,1.16E-09,3.76E-12,2.15E-13,0.01335459,0.040361932,0.044401544,0,0.053715247,0.257594428,0.490159702,4,4,2,2.5
39,The subsidy and harvest influence the cost which in turn influences the buys.,0.444444445,0.397359706,0.303165652,0.204281953,0.16798933,0.312592029,0.53125,0.399999997,0.556440331,0.431568886,0.629220002,6,6,6,6
40,Buying something depends on the cost; the cost depends on the subsidy and the harvest.,0.277777778,0.229415733,0.145746844,2.10E-05,0.133708898,0.142567773,0.369747899,0.249999996,0.193590088,0.321671402,0.60919015,5,5,5,5
41,The cost is influenced by both subsidy and harvest. The buys are influenced by cost.,0.222222222,0.120912707,9.51E-07,2.71E-09,0.048840377,0.152672368,0.306722689,0.062499995,0.193590088,0.306422737,0.587570974,5,5,5,5
42,"This is so far the least intuitive diagram. Somehow we should come up with the possibility that harvest and subsidy acting negatively, i.e. decrease the cost (of running a farm) such that the cost actually assumes a negative value which then can be spent for investment in modern farm equipment.",0.020519066,0.027986605,2.08E-07,5.76E-10,0.006227169,0.016487317,0.142857144,0.029411761,0.080710401,0.037723945,0.184243449,2,3,3,3
43,Subsidy and harvest of money lower the cost so that someone can buy something easier.,0.222222222,0.120912707,9.51E-07,2.71E-09,0.034965495,0.097914306,0.243697479,0.062499995,0.193590088,0.208425819,0.486402747,4,4,1,3.5
44,"The harvest and subsidy contribute to the cost, cost then buys??",0.277777778,2.93E-09,6.85E-12,3.36E-13,0.033185226,0.149058054,0.357142857,0,0.235782626,0.196099868,0.303323181,1,2,1,1.5
45,The cost depends on the harvest (amount) and the subsidy. This will in turn impact on whether the individual buys the product or not.,0.243352426,0.155511654,1.03E-06,2.69E-09,0.036527676,0.136232917,0.327242524,0.097560971,0.180200813,0.342202601,0.637917308,5,5.5,5,5.5
46,"Subsidies and yields from the harvest will influence the cost and in turn, this impacts the price at which someone will buy crop.",0.304514549,0.214616026,0.129961581,1.83E-05,0.069969911,0.15111811,0.336734694,0.149999996,0.286281076,0.354694337,0.696837236,7,6.5,7,7
47,Subsidies and harvest size affect the cost and thus the price the buyer pays.,0.333333334,0.143065845,1.06E-06,2.95E-09,0.037729811,0.218094833,0.383116883,0.064516124,0.335269962,0.394126333,0.64365224,5,5,5,5.5
48,"Subsidy and harvest impact the cost, and cost impacts buys.",0.166666667,2.16E-09,5.58E-12,2.87E-13,0.028012329,0.215800187,0.224137931,0,0.248604609,0.315843055,0.559140762,5,5.5,5,4.5
49,"Both subsidy and harvest affect the cost of a product. In return, the cost influences how much of the product is sold.",0.418855369,0.2529151,0.147562475,2.03E-05,0.076136785,0.239403169,0.451219512,0.15384615,0.34727783,0.551955192,0.767575832,5,6,5,5
50,Cost depends on Subsidy and Harvest. And the number of Buys depends on the Cost.,0.166666667,2.16E-09,5.58E-12,2.87E-13,0.015919219,0.203198231,0.180672269,0,0.193590088,0.340050391,0.591148327,3,5,5,5
51,"Both subsidies and the harvest have an effect on costs, which in turn influence whether someone is going to buy.",0.155273218,0.145102312,0.105523061,1.62E-05,0.06125328,0.073787821,0.148351648,0.108108104,0.155148979,0.459062836,0.622609297,6,6,7,7
52,"Subsidy and harvest will influence the cost, which will influence buys.",0.166666667,0.108147613,8.83E-07,2.56E-09,0.062112412,0.23089966,0.214285714,0.071428567,0.235782626,0.350360281,0.65523597,4,4.5,5,5
53,Subsidy and Harvest influence Cost which influences Buys.,0.111111111,1.70E-09,4.77E-12,2.56E-13,0.005270123,0.296572424,0.166666667,0,0.193004753,0.202563896,0.450391592,2,4,5,5.5
54,Subsidy and harvest independently affect cost. Cost affects buys.,0.055555556,1.16E-09,3.76E-12,2.15E-13,0.010137026,0.144581741,0.158163266,0,0.100482927,0.247790219,0.555878277,5,6,2,2.5
55,"Subsidy or harvest may cause cost, which may cause buys. ??",0,4.50E-10,2.31E-12,1.54E-13,0.010227962,0.09122528,0,0,0.012733535,0.110970331,0.450358831,1,3,3,3
56,"Subsidies provided effect cost of a commodity (agriculture output in this case?). Also, quantity harvested effects cost. This cost, in turn, affects the demand and the amount bought.",0.1520124,0.142858063,9.08E-07,2.32E-09,0.02595627,0.048455869,0.247720365,0.13333333,0.113052984,0.221392273,0.427996736,3,5,3,4
57,"Subsidies and the amount of harvest both affect the cost of a good, which in turn affects how much that good is purchased.",0.304514549,0.277068098,0.194136816,2.47E-05,0.099013887,0.118481179,0.336734694,0.249999996,0.236581471,0.409957037,0.679823323,6,6,5,5.5
58,"Cost is influenced by subsidy and harvest, people buy depending on the cost.",0.111111111,0.09365858,8.02E-07,2.38E-09,0.043112886,0.099173271,0.196428571,0.13333333,0.144402669,0.307754738,0.517221639,4,5,7,7
59,Harvest and Subsidy affect the cost. The cost affects the decision to buy.,0.222222222,2.56E-09,6.26E-12,3.13E-13,0.045306918,0.229850715,0.263392857,0.066666662,0.213075612,0.390360768,0.643298797,3,5,4,5
60,The cost of the product is affected by the harvest yield and subsidies. The number of people buying the product is dependent on the cost.,0.349562752,0.176342225,1.10E-06,2.79E-09,0.049487702,0.145607101,0.415584416,0.142857139,0.173869605,0.483887039,0.677134386,7,7,6,6
